*AnalysisType,103,2dPlaneStain
*Point
1,0,-1.5
2,2.2727,-1.5
3,4.5455,-1.5
4,6.8182,-1.5
5,9.0909,-1.5
6,11.3636,-1.5
7,13.6364,-1.5
8,15.9091,-1.5
9,18.1818,-1.5
10,20.4545,-1.5
11,22.7273,-1.5
12,25,-1.5
13,27.2727,-1.5
14,29.5455,-1.5
15,31.8182,-1.5
16,34.0909,-1.5
17,36.3636,-1.5
18,38.6364,-1.5
19,40.9091,-1.5
20,43.1818,-1.5
21,45.4545,-1.5
22,47.7273,-1.5
23,50,-1.5
24,0,-1.398
25,2.2727,-1.398
26,4.5455,-1.398
27,6.8182,-1.398
28,9.0909,-1.398
29,11.3636,-1.398
30,13.6364,-1.398
31,15.9091,-1.398
32,18.1818,-1.398
33,20.4545,-1.398
34,22.7273,-1.398
35,25,-1.398
36,27.2727,-1.398
37,29.5455,-1.398
38,31.8182,-1.398
39,34.0909,-1.398
40,36.3636,-1.398
41,38.6364,-1.398
42,40.9091,-1.398
43,43.1818,-1.398
44,45.4545,-1.398
45,47.7273,-1.398
46,50,-1.398
47,0,-1.2959
48,2.2727,-1.2959
49,4.5455,-1.2959
50,6.8182,-1.2959
51,9.0909,-1.2959
52,11.3636,-1.2959
53,13.6364,-1.2959
54,15.9091,-1.2959
55,18.1818,-1.2959
56,20.4545,-1.2959
57,22.7273,-1.2959
58,25,-1.2959
59,27.2727,-1.2959
60,29.5455,-1.2959
61,31.8182,-1.2959
62,34.0909,-1.2959
63,36.3636,-1.2959
64,38.6364,-1.2959
65,40.9091,-1.2959
66,43.1818,-1.2959
67,45.4545,-1.2959
68,47.7273,-1.2959
69,50,-1.2959
70,0,-1.1939
71,2.2727,-1.1939
72,4.5455,-1.1939
73,6.8182,-1.1939
74,9.0909,-1.1939
75,11.3636,-1.1939
76,13.6364,-1.1939
77,15.9091,-1.1939
78,18.1818,-1.1939
79,20.4545,-1.1939
80,22.7273,-1.1939
81,25,-1.1939
82,27.2727,-1.1939
83,29.5455,-1.1939
84,31.8182,-1.1939
85,34.0909,-1.1939
86,36.3636,-1.1939
87,38.6364,-1.1939
88,40.9091,-1.1939
89,43.1818,-1.1939
90,45.4545,-1.1939
91,47.7273,-1.1939
92,50,-1.1939
93,0,-1.0918
94,2.2727,-1.0918
95,4.5455,-1.0918
96,6.8182,-1.0918
97,9.0909,-1.0918
98,11.3636,-1.0918
99,13.6364,-1.0918
100,15.9091,-1.0918
101,18.1818,-1.0918
102,20.4545,-1.0918
103,22.7273,-1.0918
104,25,-1.0918
105,27.2727,-1.0918
106,29.5455,-1.0918
107,31.8182,-1.0918
108,34.0909,-1.0918
109,36.3636,-1.0918
110,38.6364,-1.0918
111,40.9091,-1.0918
112,43.1818,-1.0918
113,45.4545,-1.0918
114,47.7273,-1.0918
115,50,-1.0918
116,0,-0.9898
117,2.2727,-0.9898
118,4.5455,-0.9898
119,6.8182,-0.9898
